Country Name,quarter,average download speed,average upload speed,average latency
Belgique/België,2019-01-01,62.19,13.86,17.87
Belgique/België,2019-04-01,64.68,13.9,17.93
Belgique/België,2019-07-01,68.24,14.52,16.84
Belgique/België,2019-10-01,78.54,15.45,15.2
Belgique/België,2020-01-01,76.78,14.89,15.23
Belgique/België,2020-04-01,81.85,16.55,15.02
Belgique/België,2020-07-01,83.71,16.73,15.36
Belgique/België,2020-10-01,90.46,16.97,14.48
Belgique/België,2021-01-01,95.76,17.41,14.11
Belgique/België,2021-04-01,109.9,18.4,13.82
Belgique/België,2021-07-01,112.06,18.93,14.47
Belgique/België,2021-10-01,117.68,19.49,14.66
Belgique/België,2022-01-01,120.36,20.94,14.34
Belgique/België,2022-04-01,120.05,23.77,14.43
Bulgaria,2019-01-01,40.68,30.56,12.43
Bulgaria,2019-04-01,39.2,29.57,14.71
Bulgaria,2019-07-01,37.5,29.2,14.08
Bulgaria,2019-10-01,41.02,33.44,11.06
Bulgaria,2020-01-01,41.26,33.65,10.82
Bulgaria,2020-04-01,45.85,37.84,9.96
Bulgaria,2020-07-01,43.61,34.63,10.29
Bulgaria,2020-10-01,53.42,43.82,8.63
Bulgaria,2021-01-01,59.82,50.03,8.31
Bulgaria,2021-04-01,62.7,50.34,8.62
Bulgaria,2021-07-01,62.12,50.47,9.16
Bulgaria,2021-10-01,73.41,59.32,8.62
Bulgaria,2022-01-01,78.23,63.17,8.75
Bulgaria,2022-04-01,80.32,65.55,8.87
Crna Gora,2019-01-01,30.44,5.7,24.56
Crna Gora,2019-04-01,28.27,5.67,23.95
Crna Gora,2019-07-01,28.53,5.98,25.64
Crna Gora,2019-10-01,41.8,7.05,15.36
Crna Gora,2020-01-01,46.03,5.6899999999999995,13.86
Crna Gora,2020-04-01,47.84,7.17,13.86
Crna Gora,2020-07-01,44.84,7.42,13.92
Crna Gora,2020-10-01,53.63,8.68,13.99
Crna Gora,2021-01-01,55.78,8.89,13.37
Crna Gora,2021-04-01,52.23,8.48,11.83
Crna Gora,2021-07-01,43.67,7.5600000000000005,13.84
Crna Gora,2021-10-01,70.0,11.67,11.78
Crna Gora,2022-01-01,73.55,11.48,10.6
Crna Gora,2022-04-01,68.54,11.65,11.83
Danmark,2019-01-01,78.26,56.6,14.33
Danmark,2019-04-01,75.3,54.8,16.03
Danmark,2019-07-01,82.18,59.99,14.12
Danmark,2019-10-01,95.04,72.36,11.43
Danmark,2020-01-01,104.74,80.92,11.0
Danmark,2020-04-01,109.84,86.36,10.92
Danmark,2020-07-01,113.19,85.97,11.32
Danmark,2020-10-01,138.39,104.16,10.87
Danmark,2021-01-01,151.62,112.39,10.47
Danmark,2021-04-01,167.42,115.63,10.46
Danmark,2021-07-01,167.82,117.32,10.37
Danmark,2021-10-01,181.43,126.47,9.99
Danmark,2022-01-01,189.55,134.98,9.89
Danmark,2022-04-01,185.96,133.6,10.06
Deutschland,2019-01-01,52.51,15.16,23.28
Deutschland,2019-04-01,54.64,16.05,24.23
Deutschland,2019-07-01,61.45,17.14,21.85
Deutschland,2019-10-01,64.94,18.56,20.86
Deutschland,2020-01-01,71.9,19.95,20.0
Deutschland,2020-04-01,77.59,20.89,19.08
Deutschland,2020-07-01,79.19,21.98,18.72
Deutschland,2020-10-01,86.48,23.98,18.52
Deutschland,2021-01-01,91.66,24.74,18.11
Deutschland,2021-04-01,101.4,26.52,17.31
Deutschland,2021-07-01,103.2,27.7,17.72
Deutschland,2021-10-01,108.3,28.76,17.04
Deutschland,2022-01-01,118.66,30.39,16.7
Deutschland,2022-04-01,118.52,31.22,16.51
Eesti,2019-01-01,45.82,31.7,22.06
Eesti,2019-04-01,45.46,30.21,20.51
Eesti,2019-07-01,49.82,34.84,15.25
